time,cpu,HT0,HT1,HT2,C1C2miss
3570,1,833226,0,4781170,34363
3575,1,2415275,0,35691734,970112
3650,1,1682042,0,26920288,692285
3695,1,1488140,0,14753073,227665
3705,1,847115,0,11580820,236511
3710,1,2185426,0,27361063,713933
3720,1,2490800,0,31699632,581596
3740,1,803447,0,4743523,71530
3745,1,2235632,0,36367113,867255
3755,1,1603054,0,13414589,303691
3765,1,897896,0,11226489,274682
3775,1,559451,0,5280380,64359
3785,1,1720724,0,25077741,396649
3815,1,1640303,0,15006549,228088
3825,1,888400,0,12971408,120542
3845,1,1748588,0,24095522,512152
3860,1,789602,0,5492230,89151
3880,1,1677715,0,27684720,574761
3890,1,2149961,0,28038165,527107
3905,1,1756019,0,26549780,620567
3910,1,1130455,0,12434399,306701
3925,1,1297275,0,12759288,254942
3930,1,1722687,0,28874175,490207
3940,1,2201899,0,29288036,729815
3970,1,775699,0,4912190,24629
3990,1,1675657,0,29176909,594241
4010,1,2500848,0,30505336,788845
4015,1,1495715,0,26077352,471040
4025,1,2151679,0,29350077,627166
4030,1,775731,0,4843982,75636
4040,1,1507320,0,20162364,496082
4045,1,1359275,0,13197592,316970
4085,1,2157609,0,30156026,568544
4090,1,775564,0,4943580,77683
4100,1,1528374,0,19722215,326148
4105,1,1371688,0,13058342,241946
4110,1,1661722,0,27957403,521622
4115,1,1109851,0,13668514,276935
4120,1,2141751,0,27738290,610735
4150,1,806649,0,4697538,69409
4155,1,2526439,0,29018088,529503
4175,1,891124,0,6827072,85210
4185,1,1504925,0,20094839,515346
4190,1,1211856,0,13027354,205164
4240,1,2341608,0,35231336,751044
4255,1,1786087,0,27033742,724028
4285,1,1502528,0,20381976,503505
4300,1,1514826,0,20115246,489854
4315,1,1516847,0,20641123,459925
4320,1,1521102,0,20524368,258319
4330,1,1518847,0,20390244,360011
4345,1,1533772,0,20904613,261916
4350,1,1523727,0,19270858,494891
4455,1,1502565,0,20658228,358691
4485,1,1508091,0,21415286,556131
4495,1,1516354,0,20553383,302437
10,2,0,26632315,0,612614
25,2,0,21644488,0,605318
30,2,0,10797656,0,204387
45,2,0,33306191,0,928691
50,2,0,20753019,0,471408
55,2,0,11385678,0,257081
60,2,0,25668348,0,503828
70,2,0,26423439,0,705994
80,2,0,33151848,0,783846
100,2,0,5119016,0,182631
110,2,0,4318191,0,97983
115,2,0,17202468,0,371099
120,2,0,19415772,0,547505
125,2,0,19812421,0,650106
130,2,0,18306975,0,499654
140,2,0,19782219,0,687514
150,2,0,18289112,0,417192
160,2,0,19356930,0,409374
210,2,0,18037152,0,380243
265,2,0,19805478,0,534512
290,2,0,19613168,0,451287
320,2,0,19695736,0,518231
350,2,0,20399769,0,442257
405,2,0,18485127,0,377264
420,2,0,18810772,0,412860
440,2,0,18832950,0,415407
490,2,0,19792008,0,410623
525,2,0,19057574,0,541043
535,2,0,18288752,0,554411
545,2,0,19501787,0,537635
555,2,0,17098068,0,632222
570,2,0,18984921,0,396261
575,2,0,20440969,0,446233
590,2,0,19105649,0,469986
595,2,0,17039957,0,488645
600,2,0,18873242,0,491639
610,2,0,20116961,0,477338
615,2,0,18993227,0,429998
625,2,0,20021031,0,568736
630,2,0,19292792,0,483683
665,2,0,20090102,0,492254
700,2,0,19412854,0,463867
710,2,0,19008505,0,548033
715,2,0,18939857,0,409360
755,2,0,20306111,0,459659
760,2,0,18915720,0,426728
775,2,0,17501098,0,453579
780,2,0,19401528,0,527522
795,2,0,17358000,0,469117
820,2,0,19893134,0,483059
830,2,0,19369624,0,404471
845,2,0,20040232,0,435699
850,2,0,18894391,0,426546
860,2,0,19558719,0,395685
865,2,0,12650417,0,302889
875,2,0,12405408,0,266269
885,2,0,4734590,0,108292
890,2,0,32209760,0,835441
895,2,0,19061735,0,406376
920,2,0,3798861,0,111259
925,2,0,26561970,0,587190
930,2,0,25136574,0,688859
935,2,0,13137730,0,273304
940,2,0,26086463,0,639106
950,2,0,32666076,0,806551
960,2,0,11411942,0,246169
965,2,0,28414152,0,636382
975,2,0,31181899,0,813620
980,2,0,3900473,0,120227
985,2,0,18393870,0,382076
1020,2,0,18870318,0,555174
1030,2,0,17733505,0,590162
1035,2,0,19564729,0,390006
1055,2,0,19419156,0,579563
1060,2,0,19165251,0,499316
1075,2,0,20064066,0,510400
1115,2,0,20911215,0,504404
1125,2,0,18798984,0,488931
1135,2,0,21460369,0,490569
1140,2,0,16400022,0,475974
1145,2,0,20500422,0,457189
1150,2,0,19459476,0,467002
1180,2,0,19453733,0,431119
1260,2,0,19122864,0,603714
1320,2,0,19207270,0,637038
1400,2,0,16885708,0,489290
1430,2,0,18863720,0,429158
1465,2,0,19953020,0,516927
1470,2,0,18312631,0,509136
1490,2,0,19471730,0,430350
1545,2,0,19669946,0,718422
1555,2,0,18810602,0,386666
1560,2,0,18455277,0,571657
1570,2,0,19016458,0,392457
1590,2,0,19854173,0,446713
1595,2,0,17480436,0,546217
1605,2,0,19052021,0,499838
1610,2,0,19598214,0,449270
1615,2,0,18698214,0,441370
1625,2,0,19164068,0,491260
1630,2,0,18402829,0,534746
1640,2,0,17617105,0,477379
1665,2,0,18746024,0,499429
1680,2,0,19623855,0,471977
1685,2,0,19157968,0,565750
1690,2,0,19578707,0,429138
1695,2,0,17832648,0,525082
1705,2,0,18438422,0,582499
1715,2,0,21112134,0,512267
1720,2,0,18782482,0,525388
1725,2,0,18403552,0,511002
1730,2,0,19707883,0,430973
1740,2,0,18845054,0,416650
1750,2,0,18308034,0,480234
1755,2,0,20461304,0,437402
1760,2,0,18707990,0,388287
1785,2,0,20216708,0,409382
1790,2,0,18697109,0,403480
1820,2,0,17609219,0,546487
1830,2,0,18850079,0,566777
1835,2,0,19718449,0,554121
1850,2,0,18164924,0,461578
1860,2,0,19885512,0,647272
1865,2,0,18751034,0,652161
1870,2,0,19360454,0,434932
1875,2,0,19955919,0,655969
1890,2,0,18857352,0,501859
1895,2,0,20476009,0,433693
1905,2,0,19966974,0,510953
1910,2,0,18666488,0,401971
1935,2,0,18792106,0,529703
1970,2,0,11061754,0,271601
1990,2,0,21056386,0,506806
1995,2,0,12429310,0,304707
2005,2,0,4766660,0,117567
2015,2,0,20670863,0,485646
2020,2,0,11467305,0,279402
2035,2,0,27125018,0,591154
2040,2,0,4072950,0,99020
2050,2,0,23023225,0,712925
2055,2,0,11666032,0,249314
2060,2,0,25344611,0,632768
2065,2,0,4754238,0,135571
2080,2,0,12276059,0,248076
2085,2,0,25724116,0,710649
2095,2,0,25829469,0,642123
2100,2,0,4217681,0,78690
2105,2,0,32866264,0,716936
2110,2,0,22625456,0,474113
2115,2,0,11622712,0,240593
2120,2,0,26345235,0,567065
2125,2,0,3602011,0,95970
2130,2,0,35360243,0,741649
2140,2,0,11773678,0,472148
2150,2,0,10609543,0,345425
2160,2,0,4374095,0,305211
2165,2,0,29927902,0,783802
2170,2,0,21807201,0,576815
2175,2,0,11331146,0,222206
2190,2,0,34932818,0,844572
2220,2,0,4176219,0,305849
2225,2,0,30762465,0,659151
2235,2,0,11381602,0,262756
2250,2,0,35596239,0,706582
2255,2,0,20229442,0,454298
2280,2,0,4419276,0,114136
2285,2,0,28356051,0,693377
2315,2,0,19049345,0,541561
2320,2,0,12061535,0,385604
2335,2,0,28728188,0,666500
2365,2,0,4197989,0,115613
2395,2,0,31348621,0,693952
2405,2,0,17173319,0,531869
2410,2,0,18406384,0,451834
2425,2,0,19193360,0,381920
2435,2,0,20283186,0,483416
2440,2,0,19164368,0,549034
2460,2,0,18263046,0,457904
2470,2,0,19763333,0,468310
2475,2,0,16857013,0,509407
2490,2,0,19349568,0,509179
2495,2,0,21634302,0,573128
2505,2,0,19476753,0,435788
2510,2,0,19264949,0,470838
2520,2,0,19883439,0,407638
2525,2,0,20074232,0,525387
2555,2,0,20053322,0,438072
2575,2,0,18991387,0,361995
2580,2,0,19262625,0,426770
2585,2,0,19700405,0,533955
2590,2,0,18609432,0,556369
2595,2,0,18168125,0,493120
2600,2,0,19395526,0,444750
2610,2,0,18365293,0,477786
2615,2,0,21067146,0,525091
2620,2,0,19220804,0,682422
2625,2,0,19195610,0,417850
2630,2,0,17182855,0,644265
2635,2,0,19113855,0,610917
2650,2,0,29255166,0,690699
2660,2,0,18612863,0,589540
2665,2,0,25981657,0,818174
2675,2,0,22523056,0,568806
2685,2,0,19794336,0,389311
2690,2,0,18649292,0,551331
2705,2,0,19649344,0,498870
2715,2,0,19212829,0,446080
2720,2,0,19453031,0,456283
2725,2,0,19913533,0,450067
2735,2,0,20672499,0,527974
2750,2,0,17869351,0,499012
2755,2,0,20062493,0,437970
2770,2,0,20525440,0,501641
2825,2,0,19504895,0,459834
2835,2,0,19708646,0,441981
2850,2,0,19326935,0,409167
2855,2,0,18328692,0,654122
2870,2,0,18418704,0,424515
2895,2,0,19366319,0,512633
2920,2,0,19428459,0,408833
2925,2,0,19497659,0,474191
2930,2,0,17206743,0,513175
2940,2,0,18933061,0,470807
2945,2,0,19566210,0,442300
2955,2,0,22598032,0,473857
2970,2,0,18674623,0,423276
2980,2,0,20075321,0,515163
3030,2,0,19253685,0,517050
3035,2,0,19961992,0,546679
3045,2,0,19135255,0,448202
3075,2,0,19079088,0,407172
3100,2,0,19924789,0,480082
3105,2,0,18859492,0,431497
3130,2,0,19047337,0,515749
3140,2,0,19110017,0,419936
3145,2,0,19733412,0,671061
3160,2,0,20491629,0,440121
3165,2,0,12186609,0,401118
3170,2,0,26470551,0,707897
3175,2,0,11700476,0,249161
3185,2,0,4941613,0,152352
3190,2,0,33609885,0,977615
3200,2,0,11889807,0,269263
3205,2,0,25743754,0,671023
